ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
airtravelcenter	UA-270-MCO-IAD		12/14/11 7:00 PM (-05:00)			12/14/11 8:53 PM (-05:00)	
myrateplan	UA-270-MCO-IAD		12/14/11 7:00 PM (-05:00)			12/14/11 8:53 PM (-05:00)	
helloflight	UA-270-MCO-IAD		12/14/11 7:00 PM (-05:00)			12/14/11 8:53 PM (-05:00)	
flytecomm	UA-270-MCO-IAD		12/14/11 7:00 PM (-05:00)			12/14/11 8:53 PM (-05:00)	
flightaware	UA-270-MCO-IAD	2011-12-14 06:51PM EST	2011-12-14 06:59PM EST	 44 	2011-12-14 08:50PM EST	2011-12-14 08:47PM EST	 C17 
wunderground	UA-270-MCO-IAD	2011-12-14 06:51PM EST	2011-12-14 06:59PM EST	 44 	2011-12-14 08:50PM EST	2011-12-14 08:47PM EST	 C17 
flights	UA-270-MCO-IAD		2011-12-14 06:47 PM	44		2011-12-14 08:52 PM	C17
businesstravellogue	UA-270-MCO-IAD		2011-12-14 06:47 PM	44		2011-12-14 08:52 PM	C17
flylouisville	UA-270-MCO-IAD		2011-12-14 06:47 PM	44		2011-12-14 08:52 PM	C17
flightview	UA-270-MCO-IAD		7:00 PMDec 14			8:52 PMDec 14	
panynj	UA-270-MCO-IAD		7:00 PMDec 14			8:52 PMDec 14	
gofox	UA-270-MCO-IAD		7:00 PMDec 14			8:52 PMDec 14	
foxbusiness	UA-270-MCO-IAD		7:00 PMDec 14			8:52 PMDec 14	
allegiantair	UA-270-MCO-IAD		7:00 PMDec 14			8:52 PMDec 14	
boston	UA-270-MCO-IAD		7:00 PMDec 14			8:47 PMDec 14	
orbitz	UA-270-MCO-IAD	6:51pDec 14	6:47pDec 14	 44	9:00pDec 14	8:52pDec 14	 C17
iad	UA-270-MCO-IAD				2011-12-14 21:00 	2011-12-14 20:52 	
flightwise	UA-270-MCO-IAD	2011-12-14 06:51PM EST	2011-12-14 06:59PM EST	 44 	2011-12-14 08:50PM EST	2011-12-14 08:47PM EST	 C17 
aa	AA-2459-RSW-DFW	December 14, 2011               01:55 PM    	December 14, 2011               01:51 PM    	 D10	December 14, 2011               03:50 PM    	December 14, 2011               03:45 PM    	 A22    
flightexplorer	AA-2459-RSW-DFW		12/14/2011 1:59PM EST			12/14/2011 3:42PM CST	
airtravelcenter	AA-2459-RSW-DFW		12/14/11 1:59 PM (-05:00)			12/14/11 3:18 PM (-06:00)	
myrateplan	AA-2459-RSW-DFW		12/14/11 1:59 PM (-05:00)			12/14/11 3:18 PM (-06:00)	
helloflight	AA-2459-RSW-DFW		12/14/11 1:59 PM (-05:00)			12/14/11 3:18 PM (-06:00)	
flytecomm	AA-2459-RSW-DFW		12/14/11 1:59 PM (-05:00)			12/14/11 3:18 PM (-06:00)	
flights	AA-2459-RSW-DFW		2011-12-14 01:51 PM	D10		2011-12-14 03:45 PM	A22
businesstravellogue	AA-2459-RSW-DFW		2011-12-14 01:51 PM	D10		2011-12-14 03:45 PM	A22
flylouisville	AA-2459-RSW-DFW		2011-12-14 01:51 PM	D10		2011-12-14 03:45 PM	A22
flightview	AA-2459-RSW-DFW		1:59 PMDec 14			3:35 PMDec 14	
panynj	AA-2459-RSW-DFW		1:59 PMDec 14			3:35 PMDec 14	
gofox	AA-2459-RSW-DFW		1:59 PMDec 14			3:35 PMDec 14	
foxbusiness	AA-2459-RSW-DFW		1:59 PMDec 14			3:35 PMDec 14	
allegiantair	AA-2459-RSW-DFW		1:59 PMDec 14			3:35 PMDec 14	
boston	AA-2459-RSW-DFW		1:59 PMDec 14			3:35 PMDec 14	
travelocity	AA-2459-RSW-DFW	Dec 14 - 1:55pm	Dec 14 - 1:51pm	D10	Dec 14 - 3:50pm	Dec 14 - 3:45pm	A22/A
orbitz	AA-2459-RSW-DFW	1:55pDec 14	1:51pDec 14	 D10	3:50pDec 14	3:45pDec 14	 A22
weather	AA-2459-RSW-DFW	2011-12-14 01:55 PM			2011-12-14 03:50 PM		
dfw	AA-2459-RSW-DFW				2011-12-14 3:50 pm		A22
flightarrival	AA-2459-RSW-DFW		1:59 PMDec 14			3:35 PMDec 14	
ua	UA-3469-BUF-IAD	Wed, Dec 14 2:35 PM	Wed, Dec 14 2:25 PM	--	Wed, Dec 14 3:50 PM	Wed, Dec 14 3:30 PM	D20
airtravelcenter	UA-3469-BUF-IAD		12/14/11 2:35 PM (-05:00)			12/14/11 3:29 PM (-05:00)	
myrateplan	UA-3469-BUF-IAD		12/14/11 2:35 PM (-05:00)			12/14/11 3:29 PM (-05:00)	
helloflight	UA-3469-BUF-IAD		12/14/11 2:35 PM (-05:00)			12/14/11 3:29 PM (-05:00)	
flytecomm	UA-3469-BUF-IAD		12/14/11 2:35 PM (-05:00)			12/14/11 3:29 PM (-05:00)	
flights	UA-3469-BUF-IAD		2011-12-14 02:25 PM			2011-12-14 03:30 PM	D20
businesstravellogue	UA-3469-BUF-IAD		2011-12-14 02:25 PM			2011-12-14 03:30 PM	D20
flylouisville	UA-3469-BUF-IAD		2011-12-14 02:25 PM			2011-12-14 03:30 PM	D20
flightview	UA-3469-BUF-IAD		2:35 PMDec 14			3:30 PMDec 14	
panynj	UA-3469-BUF-IAD		2:35 PMDec 14			3:30 PMDec 14	
gofox	UA-3469-BUF-IAD		2:35 PMDec 14			3:30 PMDec 14	
foxbusiness	UA-3469-BUF-IAD		2:35 PMDec 14			3:30 PMDec 14	
allegiantair	UA-3469-BUF-IAD		2:35 PMDec 14			3:30 PMDec 14	
boston	UA-3469-BUF-IAD		2:35 PMDec 14			3:24 PMDec 14	
travelocity	UA-3469-BUF-IAD	Dec 14 - Not Available	Dec 14 - 2:34pm	CHK	Dec 14 - Not Available	Dec 14 - 3:30pm	D20
orbitz	UA-3469-BUF-IAD	2:35pDec 14	2:25pDec 14	 -	3:50pDec 14	3:30pDec 14	 D20
weather	UA-3469-BUF-IAD	2011-12-14 02:35 PM			2011-12-14 03:50 PM		
iad	UA-3469-BUF-IAD				2011-12-14 15:50 	2011-12-14 15:29 	
ua	UA-1543-EWR-SFO	Wed, Dec 14 1:15 PM	Wed, Dec 14 1:16 PM	C85	Wed, Dec 14 4:39 PM	Wed, Dec 14 4:30 PM	88
flightexplorer	UA-1543-EWR-SFO		12/14/2011 1:27PM EST			12/14/2011 4:21PM PST	
airtravelcenter	UA-1543-EWR-SFO	12/14/11 1:15 PM (-05:00)			12/14/11 4:39 PM (-08:00)		
myrateplan	UA-1543-EWR-SFO	12/14/11 1:15 PM (-05:00)			12/14/11 4:39 PM (-08:00)		
helloflight	UA-1543-EWR-SFO	12/14/11 1:15 PM (-05:00)			12/14/11 4:39 PM (-08:00)		
flytecomm	UA-1543-EWR-SFO	12/14/11 1:15 PM (-05:00)			12/14/11 4:39 PM (-08:00)		
flightaware	UA-1543-EWR-SFO	2011-12-14 01:15PM EST	2011-12-14 01:28PM EST	 C85 	2011-12-14 04:12PM PST	2011-12-14 04:26PM PST	 88 
wunderground	UA-1543-EWR-SFO	2011-12-14 01:15PM EST	2011-12-14 01:28PM EST	 C85 	2011-12-14 04:12PM PST	2011-12-14 04:26PM PST	 88 
flights	UA-1543-EWR-SFO	01:15 PM  Wed 14-Dec-2011	01:16 PM  Wed 14-Dec-2011	85	04:39 PM  Wed 14-Dec-2011	04:30 PM  Wed 14-Dec-2011	88
businesstravellogue	UA-1543-EWR-SFO	01:15 PM  Wed 14-Dec-2011	01:16 PM  Wed 14-Dec-2011	85	04:39 PM  Wed 14-Dec-2011	04:30 PM  Wed 14-Dec-2011	88
flylouisville	UA-1543-EWR-SFO	01:15 PM  Wed 14-Dec-2011	01:16 PM  Wed 14-Dec-2011	85	04:39 PM  Wed 14-Dec-2011	04:30 PM  Wed 14-Dec-2011	88
world-flight-tracker	UA-1543-EWR-SFO	2011-12-14 1:15 PM	2011-12-14 1:16 PM		2011-12-14 4:39 PM	2011-12-14 4:30 PM	
flightview	UA-1543-EWR-SFO	1:15 PM, Dec 14	1:28 PM, Dec 14	Term C - C85	4:39 PM, Dec 14	4:30 PM, Dec 14	Terminal 3 - 88
panynj	UA-1543-EWR-SFO	1:15 PM, Dec 14	1:28 PM, Dec 14	Term C - C85	4:39 PM, Dec 14	4:30 PM, Dec 14	Terminal 3 - 88
gofox	UA-1543-EWR-SFO	1:15 PM, Dec 14	1:28 PM, Dec 14		4:39 PM, Dec 14	4:30 PM, Dec 14	
foxbusiness	UA-1543-EWR-SFO	1:15 PM, Dec 14	1:28 PM, Dec 14	Term C - C85	4:39 PM, Dec 14	4:30 PM, Dec 14	Terminal 3 - 88
allegiantair	UA-1543-EWR-SFO	1:15 PM, Dec 14	1:28 PM, Dec 14	Term C - C85	4:39 PM, Dec 14	4:30 PM, Dec 14	Terminal 3 - 88
boston	UA-1543-EWR-SFO	1:15 PM, Dec 14	1:28 PM, Dec 14		4:39 PM, Dec 14	4:27 PM, Dec 14	
travelocity	UA-1543-EWR-SFO	Dec 14 - 1:15pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 4:39pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-1543-EWR-SFO	1:15pDec 14	1:16pDec 14	 C85	4:39pDec 14	4:30pDec 14	 88
weather	UA-1543-EWR-SFO	2011-12-14 01:15 PM			2011-12-14 04:39 PM		
usatoday	UA-1543-EWR-SFO	2011-12-14 01:15 PM			2011-12-14 04:39 PM		
flightwise	UA-1543-EWR-SFO	2011-12-14 01:15PM EST	2011-12-14 01:28PM EST	 C85 	2011-12-14 04:12PM PST	2011-12-14 04:26PM PST	 88 
flightarrival	UA-1543-EWR-SFO	1:15 PM, Dec 14	1:28 PM, Dec 14		4:39 PM, Dec 14	4:27 PM, Dec 14	
ua	UA-4272-EWR-MEM	Wed, Dec 14 4:40 PM	Wed, Dec 14 4:30 PM	A26	Wed, Dec 14 6:37 PM	Wed, Dec 14 6:31 PM	C14
airtravelcenter	UA-4272-EWR-MEM	12/14/11 4:40 PM (-05:00)			12/14/11 6:37 PM (-06:00)		
myrateplan	UA-4272-EWR-MEM	12/14/11 4:40 PM (-05:00)			12/14/11 6:37 PM (-06:00)		
helloflight	UA-4272-EWR-MEM	12/14/11 4:40 PM (-05:00)			12/14/11 6:37 PM (-06:00)		
flytecomm	UA-4272-EWR-MEM	12/14/11 4:40 PM (-05:00)			12/14/11 6:37 PM (-06:00)		
flights	UA-4272-EWR-MEM		2011-12-14 04:30 PM	26		2011-12-14 06:31 PM	C14
businesstravellogue	UA-4272-EWR-MEM		2011-12-14 04:30 PM	26		2011-12-14 06:31 PM	C14
flylouisville	UA-4272-EWR-MEM		2011-12-14 04:30 PM	26		2011-12-14 06:31 PM	C14
flightstats	UA-4272-EWR-MEM	2011-12-14 4:40 PM	2011-12-14 4:30 PM		2011-12-14 6:37 PM	2011-12-14 6:31 PM	
quicktrip	UA-4272-EWR-MEM	2011-12-14 4:40 PM	2011-12-14 4:30 PM		2011-12-14 6:37 PM	2011-12-14 6:31 PM	
flightview	UA-4272-EWR-MEM		4:52 PMDec 14			6:31 PMDec 14	
panynj	UA-4272-EWR-MEM		4:52 PMDec 14			6:31 PMDec 14	
gofox	UA-4272-EWR-MEM		4:52 PMDec 14			6:31 PMDec 14	
foxbusiness	UA-4272-EWR-MEM		4:52 PMDec 14			6:31 PMDec 14	
allegiantair	UA-4272-EWR-MEM		4:52 PMDec 14			6:31 PMDec 14	
boston	UA-4272-EWR-MEM		4:52 PMDec 14			6:24 PMDec 14	
travelocity	UA-4272-EWR-MEM	Dec 14 - 4:40pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 6:37pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-4272-EWR-MEM	4:40pDec 14	4:30pDec 14	 -	6:37pDec 14	6:31pDec 14	 -
weather	UA-4272-EWR-MEM	2011-12-14 04:40 PM			2011-12-14 06:37 PM		
ifly	UA-4272-EWR-MEM	2011-12-14 4:40 PM	2011-12-14 4:30 PM		2011-12-14 6:37 PM	2011-12-14 6:31 PM	
mytripandmore	UA-4272-EWR-MEM	4:40pDec 14	4:30pDec 14	 -	6:37pDec 14	6:31pDec 14	 -
aa	AA-436-SAN-DFW	December 14, 2011               10:05 AM    	December 14, 2011               10:16 AM    	 32	December 14, 2011               03:05 PM    	December 14, 2011               03:06 PM    	 C33    
flightexplorer	AA-436-SAN-DFW		12/14/2011 10:29AM PST			12/14/2011 2:40PM CST	
airtravelcenter	AA-436-SAN-DFW		12/14/11 10:29 AM (-08:00)			12/14/11 2:40 PM (-06:00)	
myrateplan	AA-436-SAN-DFW		12/14/11 10:29 AM (-08:00)			12/14/11 2:40 PM (-06:00)	
helloflight	AA-436-SAN-DFW		12/14/11 10:29 AM (-08:00)			12/14/11 2:40 PM (-06:00)	
flytecomm	AA-436-SAN-DFW		12/14/11 10:29 AM (-08:00)			12/14/11 2:40 PM (-06:00)	
flightaware	AA-436-SAN-DFW	2011-12-14 10:05AM PST	2011-12-14 10:29AM PST	 32 	2011-12-14 02:42PM CST	2011-12-14 02:40PM CST	 C33 
wunderground	AA-436-SAN-DFW	2011-12-14 10:05AM PST	2011-12-14 10:29AM PST	 32 	2011-12-14 02:42PM CST	2011-12-14 02:40PM CST	 C33 
flights	AA-436-SAN-DFW	10:05 AM  Wed 14-Dec-2011	10:16 AM  Wed 14-Dec-2011	32	03:05 PM  Wed 14-Dec-2011	03:06 PM  Wed 14-Dec-2011	C33
businesstravellogue	AA-436-SAN-DFW	10:05 AM  Wed 14-Dec-2011	10:16 AM  Wed 14-Dec-2011	32	03:05 PM  Wed 14-Dec-2011	03:06 PM  Wed 14-Dec-2011	C33
flylouisville	AA-436-SAN-DFW	10:05 AM  Wed 14-Dec-2011	10:16 AM  Wed 14-Dec-2011	32	03:05 PM  Wed 14-Dec-2011	03:06 PM  Wed 14-Dec-2011	C33
world-flight-tracker	AA-436-SAN-DFW	2011-12-14 10:05 AM	2011-12-14 10:16 AM		2011-12-14 3:05 PM	2011-12-14 3:06 PM	
flightview	AA-436-SAN-DFW	10:05 AM, Dec 14	10:29 AM, Dec 14	Terminal 2 - 32	3:05 PM, Dec 14	3:06 PM, Dec 14	Terminal C - C33
panynj	AA-436-SAN-DFW	10:05 AM, Dec 14	10:29 AM, Dec 14	Terminal 2 - 32	3:05 PM, Dec 14	3:06 PM, Dec 14	Terminal C - C33
gofox	AA-436-SAN-DFW	10:05 AM, Dec 14	10:29 AM, Dec 14		3:05 PM, Dec 14	3:06 PM, Dec 14	
foxbusiness	AA-436-SAN-DFW	10:05 AM, Dec 14	10:29 AM, Dec 14	Terminal 2 - 32	3:05 PM, Dec 14	3:06 PM, Dec 14	Terminal C - C33
allegiantair	AA-436-SAN-DFW	10:05 AM, Dec 14	10:29 AM, Dec 14	Terminal 2 - 32	3:05 PM, Dec 14	3:06 PM, Dec 14	Terminal C - C33
boston	AA-436-SAN-DFW	10:05 AM, Dec 14	10:29 AM, Dec 14		3:05 PM, Dec 14	2:53 PM, Dec 14	
travelocity	AA-436-SAN-DFW	Dec 14 - 10:05am	Dec 14 - 10:16am	32/T2	Dec 14 - 3:05pm	Dec 14 - 3:06pm	C33/C
orbitz	AA-436-SAN-DFW	10:05aDec 14	10:16aDec 14	 32	3:05pDec 14	3:06pDec 14	 C33
weather	AA-436-SAN-DFW	2011-12-14 10:05 AM			2011-12-14 03:05 PM		
dfw	AA-436-SAN-DFW				2011-12-14 3:05 pm		C33
flightarrival	AA-436-SAN-DFW	2011-12-14 10:05 AM			2011-12-14 03:05 PM		
ua	UA-6465-SLC-LAX	Wed, Dec 14 6:00 AM	Wed, Dec 14 6:24 AM	B9	Wed, Dec 14 7:02 AM	Wed, Dec 14 7:18 AM	80
flightexplorer	UA-6465-SLC-LAX		12/14/2011 6:47AM MST			12/14/2011 7:09AM PST	
airtravelcenter	UA-6465-SLC-LAX		12/14/11 6:20 AM (-07:00)			12/14/11 7:09 AM (-08:00)	
myrateplan	UA-6465-SLC-LAX		12/14/11 6:20 AM (-07:00)			12/14/11 7:09 AM (-08:00)	
helloflight	UA-6465-SLC-LAX		12/14/11 6:20 AM (-07:00)			12/14/11 7:09 AM (-08:00)	
flytecomm	UA-6465-SLC-LAX		12/14/11 6:20 AM (-07:00)			12/14/11 7:09 AM (-08:00)	
flightaware	UA-6465-SLC-LAX	2011-12-14 06:00AM MST	2011-12-14 06:47AM MST	 B9 	2011-12-14 06:36AM PST	2011-12-14 07:09AM PST	 80 
wunderground	UA-6465-SLC-LAX	2011-12-14 06:00AM MST	2011-12-14 06:47AM MST	 B9 	2011-12-14 06:36AM PST	2011-12-14 07:09AM PST	 80 
flights	UA-6465-SLC-LAX	06:00 AM  Wed 14-Dec-2011	06:24 AM  Wed 14-Dec-2011	B9	07:02 AM  Wed 14-Dec-2011	07:18 AM  Wed 14-Dec-2011	80
businesstravellogue	UA-6465-SLC-LAX	06:00 AM  Wed 14-Dec-2011	06:24 AM  Wed 14-Dec-2011	B9	07:02 AM  Wed 14-Dec-2011	07:18 AM  Wed 14-Dec-2011	80
flylouisville	UA-6465-SLC-LAX	06:00 AM  Wed 14-Dec-2011	06:24 AM  Wed 14-Dec-2011	B9	07:02 AM  Wed 14-Dec-2011	07:18 AM  Wed 14-Dec-2011	80
flightstats	UA-6465-SLC-LAX	2011-12-14 6:00 AM	2011-12-14 6:24 AM		2011-12-14 7:02 AM	2011-12-14 7:18 AM	
quicktrip	UA-6465-SLC-LAX	2011-12-14 6:00 AM	2011-12-14 6:24 AM		2011-12-14 7:02 AM	2011-12-14 7:18 AM	
world-flight-tracker	UA-6465-SLC-LAX	2011-12-14 6:00 AM	2011-12-14 6:24 AM		2011-12-14 7:02 AM	2011-12-14 7:18 AM	
flightview	UA-6465-SLC-LAX	6:00 AM, Dec 14	6:47 AM, Dec 14	B9	7:02 AM, Dec 14	7:18 AM, Dec 14	80
panynj	UA-6465-SLC-LAX	6:00 AM, Dec 14	6:47 AM, Dec 14	B9	7:02 AM, Dec 14	7:18 AM, Dec 14	80
gofox	UA-6465-SLC-LAX	6:00 AM, Dec 14	6:47 AM, Dec 14		7:02 AM, Dec 14	7:18 AM, Dec 14	
foxbusiness	UA-6465-SLC-LAX	6:00 AM, Dec 14	6:47 AM, Dec 14	B9	7:02 AM, Dec 14	7:18 AM, Dec 14	80
allegiantair	UA-6465-SLC-LAX	6:00 AM, Dec 14	6:47 AM, Dec 14	B9	7:02 AM, Dec 14	7:18 AM, Dec 14	80
boston	UA-6465-SLC-LAX	6:00 AM, Dec 14	6:47 AM, Dec 14		7:02 AM, Dec 14	7:10 AM, Dec 14	
travelocity	UA-6465-SLC-LAX	Dec 14 - Not Available	Dec 14 - 6:47am	B9	Dec 14 - Not Available	Dec 14 - 7:18am	80
orbitz	UA-6465-SLC-LAX	6:00aDec 14	6:24aDec 14	 B9	7:02aDec 14	7:18aDec 14	 80
weather	UA-6465-SLC-LAX	2011-12-14 06:00 AM			2011-12-14 07:02 AM		
usatoday	UA-6465-SLC-LAX	2011-12-14 6:00 AM	2011-12-14 6:24 AM		2011-12-14 7:02 AM	2011-12-14 7:18 AM	
CO	CO-1690-IAH-EWR	Wed., Dec.14, 2011 8:55 a.m.	Wed., Dec.14, 2011 8:54 a.m.		Wed., Dec.14, 2011 1:23 p.m.	Wed., Dec.14, 2011 1:10 p.m.	
airtravelcenter	CO-1690-IAH-EWR	12/14/11 8:55 AM (-06:00)			12/14/11 1:23 PM (-05:00)		
myrateplan	CO-1690-IAH-EWR	12/14/11 8:55 AM (-06:00)			12/14/11 1:23 PM (-05:00)		
helloflight	CO-1690-IAH-EWR	12/14/11 8:55 AM (-06:00)			12/14/11 1:23 PM (-05:00)		
flytecomm	CO-1690-IAH-EWR	12/14/11 8:55 AM (-06:00)			12/14/11 1:23 PM (-05:00)		
flightaware	CO-1690-IAH-EWR	2011-12-14 08:55AM CST	2011-12-14 09:06AM CST	 31 	2011-12-14 01:08PM EST	2011-12-14 01:04PM EST	 C82 
wunderground	CO-1690-IAH-EWR	2011-12-14 08:55AM CST	2011-12-14 09:06AM CST	 31 	2011-12-14 01:08PM EST	2011-12-14 01:04PM EST	 C82 
flights	CO-1690-IAH-EWR	08:55 AM  Wed 14-Dec-2011	08:54 AM  Wed 14-Dec-2011	31	01:23 PM  Wed 14-Dec-2011	01:10 PM  Wed 14-Dec-2011	82
businesstravellogue	CO-1690-IAH-EWR	08:55 AM  Wed 14-Dec-2011	08:54 AM  Wed 14-Dec-2011	31	01:23 PM  Wed 14-Dec-2011	01:10 PM  Wed 14-Dec-2011	82
flylouisville	CO-1690-IAH-EWR	08:55 AM  Wed 14-Dec-2011	08:54 AM  Wed 14-Dec-2011	31	01:23 PM  Wed 14-Dec-2011	01:10 PM  Wed 14-Dec-2011	82
flightstats	CO-1690-IAH-EWR	2011-12-14 8:55 AM	2011-12-14 8:54 AM		2011-12-14 1:23 PM	2011-12-14 1:10 PM	
quicktrip	CO-1690-IAH-EWR	2011-12-14 8:55 AM	2011-12-14 8:54 AM		2011-12-14 1:23 PM	2011-12-14 1:10 PM	
world-flight-tracker	CO-1690-IAH-EWR	2011-12-14 8:55 AM	2011-12-14 8:54 AM		2011-12-14 1:23 PM	2011-12-14 1:10 PM	
flightview	CO-1690-IAH-EWR	8:55 AM, Dec 14	9:07 AM, Dec 14	Term C - C31	1:23 PM, Dec 14	1:10 PM, Dec 14	Term C - C82
panynj	CO-1690-IAH-EWR	8:55 AM, Dec 14	9:07 AM, Dec 14	Term C - C31	1:23 PM, Dec 14	1:10 PM, Dec 14	Term C - C82
gofox	CO-1690-IAH-EWR	8:55 AM, Dec 14	9:07 AM, Dec 14		1:23 PM, Dec 14	1:10 PM, Dec 14	
foxbusiness	CO-1690-IAH-EWR	8:55 AM, Dec 14	9:07 AM, Dec 14	Term C - C31	1:23 PM, Dec 14	1:10 PM, Dec 14	Term C - C82
allegiantair	CO-1690-IAH-EWR	8:55 AM, Dec 14	9:07 AM, Dec 14	Term C - C31	1:23 PM, Dec 14	1:10 PM, Dec 14	Term C - C82
boston	CO-1690-IAH-EWR	8:55 AM, Dec 14	9:07 AM, Dec 14		1:23 PM, Dec 14	1:05 PM, Dec 14	
travelocity	CO-1690-IAH-EWR	Dec 14 - 8:55am	Dec 14 - 8:54am	C-31	Dec 14 - 1:23pm	Dec 14 - 1:10pm	C82
orbitz	CO-1690-IAH-EWR	8:55aDec 14	8:54aDec 14	 C-31	1:23pDec 14	1:10pDec 14	 C82
weather	CO-1690-IAH-EWR	2011-12-14 08:55 AM			2011-12-14 01:23 PM		
ifly	CO-1690-IAH-EWR	2011-12-14 8:55 AM	2011-12-14 8:54 AM		2011-12-14 1:23 PM	2011-12-14 1:10 PM	
flightarrival	CO-1690-IAH-EWR	2011-12-14 08:55 AM			2011-12-14 01:23 PM		
ua	UA-1546-CZM-IAH	Wed, Dec 14 12:10 PM	Wed, Dec 14 12:04 PM	2	Wed, Dec 14 2:35 PM	Wed, Dec 14 2:27 PM	E14
airtravelcenter	UA-1546-CZM-IAH	12/14/11 6:10 PM (-00:00)			12/14/11 2:35 PM (-06:00)		
myrateplan	UA-1546-CZM-IAH	12/14/11 6:10 PM (-00:00)			12/14/11 2:35 PM (-06:00)		
helloflight	UA-1546-CZM-IAH	12/14/11 6:10 PM (-00:00)			12/14/11 2:35 PM (-06:00)		
flytecomm	UA-1546-CZM-IAH	12/14/11 6:10 PM (-00:00)			12/14/11 2:35 PM (-06:00)		
flights	UA-1546-CZM-IAH		2011-12-14 12:04 PM	2		2011-12-14 02:27 PM	14
businesstravellogue	UA-1546-CZM-IAH		2011-12-14 12:04 PM	2		2011-12-14 02:27 PM	14
flylouisville	UA-1546-CZM-IAH		2011-12-14 12:04 PM	2		2011-12-14 02:27 PM	14
flightview	UA-1546-CZM-IAH		12:57 PMDec 14			2:27 PMDec 14	
panynj	UA-1546-CZM-IAH		12:57 PMDec 14			2:27 PMDec 14	
gofox	UA-1546-CZM-IAH		12:57 PMDec 14			2:27 PMDec 14	
foxbusiness	UA-1546-CZM-IAH		12:57 PMDec 14			2:27 PMDec 14	
allegiantair	UA-1546-CZM-IAH		12:57 PMDec 14			2:27 PMDec 14	
boston	UA-1546-CZM-IAH		12:57 PMDec 14			2:21 PMDec 14	
travelocity	UA-1546-CZM-IAH	Dec 14 - 12:10pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 2:35pm	Dec 14 - Contact Airline	Not provided by airline
orbitz	UA-1546-CZM-IAH	12:10pDec 14	12:04pDec 14	 2	2:35pDec 14	2:27pDec 14	 E14
mytripandmore	UA-1546-CZM-IAH	Dec 14 - 12:10pm	Dec 14 - Contact Airline	Not provided by airline	Dec 14 - 2:35pm	Dec 14 - Contact Airline	Not provided by airline
aa	AA-2336-DFW-ORD	December 14, 2011               09:35 AM    	December 14, 2011               10:00 AM    	 A35	December 14, 2011               11:55 AM    	December 14, 2011               12:10 PM    	 K5    
flightexplorer	AA-2336-DFW-ORD		12/14/2011 10:15AM CST			12/14/2011 12:07PM CST	
airtravelcenter	AA-2336-DFW-ORD		12/14/11 10:15 AM (-06:00)			12/14/11 12:07 PM (-06:00)	
myrateplan	AA-2336-DFW-ORD		12/14/11 10:15 AM (-06:00)			12/14/11 12:07 PM (-06:00)	
helloflight	AA-2336-DFW-ORD		12/14/11 10:15 AM (-06:00)			12/14/11 12:07 PM (-06:00)	
flytecomm	AA-2336-DFW-ORD		12/14/11 10:15 AM (-06:00)			12/14/11 12:07 PM (-06:00)	
flightaware	AA-2336-DFW-ORD	2011-12-14 09:35AM CST	2011-12-14 10:15AM CST	 A35 	2011-12-14 11:31AM CST	2011-12-14 12:04PM CST	 K5 
wunderground	AA-2336-DFW-ORD	2011-12-14 09:35AM CST	2011-12-14 10:15AM CST	 A35 	2011-12-14 11:31AM CST	2011-12-14 12:04PM CST	 K5 
flights	AA-2336-DFW-ORD	09:35 AM  Wed 14-Dec-2011	10:00 AM  Wed 14-Dec-2011	A35	11:55 AM  Wed 14-Dec-2011	12:10 PM  Wed 14-Dec-2011	K5
businesstravellogue	AA-2336-DFW-ORD	09:35 AM  Wed 14-Dec-2011	10:00 AM  Wed 14-Dec-2011	A35	11:55 AM  Wed 14-Dec-2011	12:10 PM  Wed 14-Dec-2011	K5
flylouisville	AA-2336-DFW-ORD	09:35 AM  Wed 14-Dec-2011	10:00 AM  Wed 14-Dec-2011	A35	11:55 AM  Wed 14-Dec-2011	12:10 PM  Wed 14-Dec-2011	K5
flightstats	AA-2336-DFW-ORD	2011-12-14 9:35 AM	2011-12-14 10:00 AM		2011-12-14 11:55 AM	2011-12-14 12:10 PM	
quicktrip	AA-2336-DFW-ORD	2011-12-14 9:35 AM	2011-12-14 10:00 AM		2011-12-14 11:55 AM	2011-12-14 12:10 PM	
world-flight-tracker	AA-2336-DFW-ORD	2011-12-14 9:35 AM	2011-12-14 10:00 AM		2011-12-14 11:55 AM	2011-12-14 12:10 PM	
flightview	AA-2336-DFW-ORD	9:35 AM, Dec 14	10:15 AM, Dec 14	A35	11:55 AM, Dec 14	12:05 PM, Dec 14	K5
panynj	AA-2336-DFW-ORD	9:35 AM, Dec 14	10:15 AM, Dec 14	A35	11:55 AM, Dec 14	12:05 PM, Dec 14	K5
gofox	AA-2336-DFW-ORD	9:35 AM, Dec 14	10:15 AM, Dec 14		11:55 AM, Dec 14	12:05 PM, Dec 14	
foxbusiness	AA-2336-DFW-ORD	9:35 AM, Dec 14	10:15 AM, Dec 14	A35	11:55 AM, Dec 14	12:05 PM, Dec 14	K5
allegiantair	AA-2336-DFW-ORD	9:35 AM, Dec 14	10:15 AM, Dec 14	A35	11:55 AM, Dec 14	12:05 PM, Dec 14	K5
